num_steps,n_ops,winding,shape,steps_settle
16,8,0.6476269960403442,settle,13
16,8,0.6341798305511475,settle,14
16,8,0.6423224806785583,loop,15
16,8,0.6350923180580139,settle,13
16,8,0.6451922655105591,settle,12
16,8,0.645410418510437,settle,13
16,8,0.6412569880485535,settle,13
16,8,0.6474359035491943,settle,13
16,24,0.6535899043083191,settle,13
16,24,0.6525129079818726,loop,15
16,24,0.6565659046173096,loop,15
16,24,0.6474952101707458,loop,15
16,24,0.657579779624939,loop,15
16,24,0.6513027548789978,loop,15
16,24,0.6543403267860413,loop,15
16,24,0.6607811450958252,loop,15
16,48,0.6536662578582764,settle,13
16,48,0.6324681043624878,loop,15
16,48,0.6361759901046753,loop,15
16,48,0.646237850189209,loop,15
16,48,0.6518190503120422,drift,15
16,48,0.6499100923538208,settle,13
16,48,0.6542501449584961,loop,15
16,48,0.6652740836143494,loop,15
24,8,0.6437274217605591,settle,13
24,8,0.6318616271018982,settle,14
24,8,0.6347612142562866,settle,15
24,8,0.6320367455482483,settle,13
24,8,0.640993058681488,settle,12
24,8,0.6453545093536377,settle,13
24,8,0.6340034008026123,settle,13
24,8,0.6459025740623474,settle,13
24,24,0.6527432799339294,settle,13
24,24,0.6342209577560425,settle,15
24,24,0.6225603818893433,settle,16
24,24,0.6222891211509705,settle,15
24,24,0.6403828859329224,settle,16
24,24,0.6503241658210754,settle,15
24,24,0.6357432007789612,settle,15
24,24,0.6458978652954102,settle,15
24,48,0.6550278663635254,settle,13
24,48,0.618574857711792,settle,15
24,48,0.6155593991279602,settle,15
24,48,0.6057891249656677,settle,15
24,48,0.6121383309364319,settle,15
24,48,0.6497010588645935,settle,13
24,48,0.618963360786438,settle,15
24,48,0.6209906339645386,settle,15
32,8,0.6330083012580872,settle,13
32,8,0.6248186826705933,settle,14
32,8,0.6292998194694519,settle,15
32,8,0.6291413903236389,settle,13
32,8,0.6385744214057922,settle,12
32,8,0.637540340423584,settle,13
32,8,0.6327912211418152,settle,13
32,8,0.6450905799865723,settle,13
32,24,0.6505934596061707,settle,13
32,24,0.6399257183074951,settle,15
32,24,0.6261513233184814,settle,16
32,24,0.6297901272773743,settle,15
32,24,0.6512867212295532,settle,16
32,24,0.6498574018478394,settle,15
32,24,0.6495440006256104,settle,15
32,24,0.6582391262054443,settle,15
32,48,0.6436135768890381,settle,13
32,48,0.6271963119506836,settle,15
32,48,0.6118890047073364,settle,15
32,48,0.6133662462234497,settle,15
32,48,0.6336566209793091,settle,15
32,48,0.6426640152931213,settle,13
32,48,0.6200538873672485,settle,15
32,48,0.6368467211723328,settle,15
64,8,0.618606448173523,settle,13
64,8,0.6168239116668701,settle,14
64,8,0.6202082633972168,settle,15
64,8,0.6217910051345825,settle,13
64,8,0.6311428546905518,settle,12
64,8,0.6294599175453186,settle,13
64,8,0.6275166273117065,settle,13
64,8,0.641809344291687,settle,13
64,24,0.6387544870376587,settle,13
64,24,0.6479067206382751,settle,15
64,24,0.6182749271392822,settle,16
64,24,0.6448373794555664,settle,15
64,24,0.6385598182678223,settle,16
64,24,0.6447848677635193,settle,15
64,24,0.651375412940979,settle,15
64,24,0.6531677842140198,settle,15
64,48,0.6355227828025818,settle,13
64,48,0.6304207444190979,settle,15
64,48,0.6114215850830078,settle,15
64,48,0.6441080570220947,settle,15
64,48,0.6305801868438721,settle,15
64,48,0.6333931684494019,settle,13
64,48,0.6170143485069275,settle,15
64,48,0.6453842520713806,settle,15
