depth,seed,seq_len,accel_answer,orth_answer,accel_content,orth_content,exit_answer,settle_answer
2,0,176,22.69749641418457,0.4066941440105438,17.975059509277344,0.1905267834663391,14,20
2,1,176,21.2997989654541,0.46140792965888977,17.23992347717285,0.24585078656673431,14,20
2,2,176,21.925996780395508,0.4429777264595032,17.902326583862305,0.2086905837059021,13,20
4,0,187,20.81682777404785,0.44186821579933167,20.526920318603516,-0.0958610475063324,12,15
4,1,187,22.630102157592773,0.36809042096138,20.67705726623535,-0.11293372511863708,13,15
4,2,187,21.073583602905273,0.437408983707428,20.899072647094727,-0.14690576493740082,12,15
5,0,291,21.165714263916016,0.49426597356796265,17.606609344482422,0.2006978839635849,14,22
5,1,291,22.354219436645508,0.47102323174476624,17.941974639892578,0.21276994049549103,15,22
5,2,291,21.357805252075195,0.5010863542556763,17.852184295654297,0.22363431751728058,15,22
4,0,192,21.479755401611328,0.262357234954834,20.053607940673828,-0.06591823697090149,14,16
4,1,192,21.554115295410156,0.2640683352947235,19.812244415283203,-0.034483205527067184,14,16
4,2,192,21.399776458740234,0.21452569961547852,19.31306266784668,-0.020719001069664955,14,16
5,0,313,24.299793243408203,0.3693023920059204,18.732133865356445,0.2791733145713806,15,21
5,1,313,24.272470474243164,0.39710235595703125,18.69814109802246,0.278969407081604,14,22
5,2,313,22.564340591430664,0.42183858156204224,18.632335662841797,0.2801722288131714,15,22
4,0,191,21.116865158081055,0.43980804085731506,18.160423278808594,0.2322898805141449,14,17
4,1,191,21.946447372436523,0.4082704484462738,18.07089614868164,0.25727707147598267,14,16
4,2,191,23.574317932128906,0.37109217047691345,18.082340240478516,0.26220178604125977,14,16
4,0,261,24.660301208496094,0.3522752821445465,18.45873260498047,0.2088531255722046,16,20
4,1,261,23.632659912109375,0.40985366702079773,18.917509078979492,0.203963965177536,15,21
4,2,261,23.869844436645508,0.32736673951148987,18.55486297607422,0.21982122957706451,15,17
3,0,208,23.708026885986328,0.4080466628074646,18.22160530090332,0.27421772480010986,14,22
3,1,208,21.911455154418945,0.4492424726486206,18.027973175048828,0.26734253764152527,14,21
3,2,208,21.682151794433594,0.44743937253952026,17.982351303100586,0.2659429907798767,14,22
4,0,258,24.230283737182617,0.40622565150260925,18.163150787353516,0.23752881586551666,15,22
4,1,258,23.59493637084961,0.4159523844718933,18.351755142211914,0.23090218007564545,16,22
4,2,258,25.041460037231445,0.36279532313346863,18.567726135253906,0.21715222299098969,16,21
3,0,155,23.250125885009766,0.07157774269580841,19.06878089904785,-0.08509369939565659,14,15
